Trial,CorrectAns,choice,RT,Correct,key.started,key.stopped,participant,date,expName,psychopyVersion,frameRate,
1_AF881_AF1434,right,left,1.844842000049539,0,1843.025527699967,1844.9608324700152,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1597_AF491,right,left,1.729821400018409,0,1846.9584922000067,1848.7609768699972,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF1667_AF1366,left,left,1.0779195999493822,1,1850.7589593000012,1851.9274306699285,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF2008_AF1371,left,left,1.4322431000182405,1,1853.9381762000266,1855.4446053699708,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF2010_AF1366,left,left,1.553814799990505,1,1857.4483476999449,1859.0608509700164,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF2009_AF1365,right,right,1.4363125000381842,1,1861.058763399953,1862.5777121699998,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1908_AF1825,right,left,1.5268348000245169,0,1864.576061300002,1866.1776714700159,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1527_AF1955,right,right,2.976543400087394,1,1868.1754458999494,1871.2442179699779,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1966_AF2004,left,left,1.4590343999443576,1,1873.2464679999975,1874.7941949699657,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF1656_AF1326,left,left,1.2331160999601707,1,1876.7940080999397,1878.110992569977,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
4_AF2001_AF600,left,left,1.1582441999344155,1,1880.1101227999898,1881.3440659699613,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1755_AF1336,left,left,2.242902099969797,1,1883.3455140999286,1885.610608769965,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1638_AF1468,right,right,1.0615276000462472,1,1887.608817399945,1888.7270769699594,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
4_AF1419_AF2006,right,right,1.2993595999432728,1,1890.7239606999792,1892.127155569999,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF709_AF1356,right,right,2.0768001000396907,1,1894.1248555999482,1896.3106891699485,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1798_AF1812,right,right,1.208474500104785,1,1898.3079673999455,1899.5441224699957,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1603_AF1669,right,right,1.6955154000315815,1,1901.5417390000075,1903.3275161700208,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
4_AF1816_AF709,left,left,2.0408609000733122,1,1905.325558200013,1907.527170270018,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1811_AF1955,right,right,1.4205501000396907,1,1909.5249480999773,1910.9940083700117,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1560_AF1603,left,left,1.830106700072065,1,1912.9928169000195,1914.8608011699166,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF454_AF1812,right,right,1.137517699971795,1,1916.8586320999311,1918.1275303699426,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1813_AF1738,left,left,1.4574359999969602,1,1920.1246862999396,1921.6605779700099,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1675_AF1821,left,left,1.2162754000164568,1,1923.6576900000218,1924.9774114699453,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF398_AF244,right,right,1.4321711999364197,1,1926.9746312999632,1928.4444716700004,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF433_AF1675,right,right,2.1420730999670923,1,1930.4425606000004,1932.6773553699372,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1908_AF1501,right,right,1.4264654000289738,1,1934.6751919999951,1936.1939497699846,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1825_AF1065,left,left,1.2480590000050142,1,1938.1913774999557,1939.510893169942,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF1402_AF2012,left,left,1.7276690000435337,1,1941.5140881999396,1943.2938792700065,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1561_AF1065,left,left,1.2781092999503016,1,1945.2924834999721,1946.6606928699534,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF1365_AF1499,left,left,1.7605400999309495,1,1948.657794800005,1950.4938346699696,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1402_AF1162,left,left,1.725827099988237,1,1952.4910627999343,1954.277345869958,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1712_AF1738,left,left,2.1788353000301868,1,1956.2745250000153,1958.5439214699786,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1689_AF1203,left,right,2.582615099963732,0,1960.5419929999625,1963.1607933700202,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF1205_AF409,left,left,1.6259608000982553,1,1965.1590864999453,1966.8941121700104,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF2011_AF1585,left,left,1.0969550999579951,1,1968.8995549000101,1970.0774858700229,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF2012_AF724,right,right,1.4027191000059247,1,1972.0809351999778,1973.5938740700135,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1362_AF724,right,right,2.0391017000656575,1,1975.5970455999486,1977.6938601700008,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF582_AF1203,left,left,2.6411236999556422,1,1979.690860999981,1982.444018269924,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
1_AF1712_AF2014,left,right,2.6104593999916688,0,1984.4469627999933,1987.1272220699234,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
3_AF593_AF2008,right,right,1.3297906999941915,1,1989.140395800001,1990.560441069922,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
2_AF433_AF1977,right,right,1.9651779000414535,1,1992.564542899956,1994.5770676699817,2,2022-12-29-2131,VBDM,2021.2.0,59.77743665115159,
