Trial,CorrectAns,choice,RT,Correct,key.started,key.stopped,participant,date,expName,psychopyVersion,frameRate,
2_AF932_AF1714,right,[],[],None,2544.9847456999705,2547.0007128499565,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF1356_AF685,right,right,0.8295253000105731,1,2549.0020210999646,2549.9501377499546,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF1832_AF1699,left,left,1.1576079999795184,1,2551.9515717999893,2553.2334137499565,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF959_AF962,left,left,1.4017968000262044,1,2555.2331732999883,2556.7335082499776,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1977_AF784,left,left,1.2074765000143088,1,2558.7338917999878,2560.1003285499755,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1514_AF867,left,left,1.0748062999919057,1,2562.1003853,2563.3337402499747,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF2006_AF1712,left,left,1.8498874999932013,1,2565.335423499986,2567.316569849965,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1816_AF1735,left,left,1.0799737999914214,1,2569.3168562999927,2570.516614049964,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1725_AF1813,left,right,1.1736145000322722,0,2572.515913399984,2573.799956850009,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1468_AF1643,right,right,1.5306091999518685,1,2575.8040927999537,2577.4334032500046,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF2010_AF1659,right,right,1.6582071000011638,1,2579.435185999959,2581.200131749967,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1456_AF1812,right,right,1.198550199973397,1,2583.200636799971,2584.5168680499773,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1546_AF1207,right,right,0.9497939999564551,1,2586.516239699966,2587.6333997499896,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF434_AF1669,right,right,1.5702270000474527,1,2589.63293349999,2591.2998541499837,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1667_AF1982,left,left,1.1733407999854535,1,2593.2988787000068,2594.600087950006,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF1832_AF1569,left,right,0.9376469000126235,0,2596.600669999956,2597.783416249964,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF244_AF2006,right,right,1.0826625999761745,1,2599.786038499966,2601.033380649984,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1356_AF1532,right,right,2.0733305000467226,1,2611.8843537999783,2614.0332046499825,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF597_AF1335,right,right,2.853403699991759,1,2616.030644099985,2618.999977450003,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1675_AF1270,right,right,2.614381899998989,1,2620.9978668999975,2623.6669314499595,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF2003_AF1837,right,right,0.8927818000083789,1,2625.665855399973,2626.6999603500008,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1955_AF1284,right,left,0.9001459999708459,0,2628.6985982999904,2629.699951549992,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF967_AF597,left,right,1.1899092000094242,0,2631.6977319999714,2633.033309349965,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1468_AF593,right,right,1.0155550999916159,1,2635.0296816999908,2636.183823450003,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1977_AF1675,left,left,1.661063599982299,1,2638.1810905999737,2639.9500316499616,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1090_AF962,left,left,1.321022299991455,1,2641.948566199979,2643.3834135499783,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF897_AF1405,right,right,0.9901013000053354,1,2645.382586199965,2646.5332552499603,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF685_AF470,left,left,1.2252609999850392,1,2648.531274299952,2649.8667697499623,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1689_AF1233,right,left,3.3523511000094004,0,2651.864349099982,2655.3339189499966,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1825_AF1362,right,left,1.6475410999846645,0,2657.331830899988,2659.099833849992,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF987_AF491,right,right,1.070404600002803,1,2661.097331099969,2662.2665090499795,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF1297_AF932,left,left,1.1219159999745898,1,2664.2642829999677,2665.48342075001,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF2008_AF1551,left,right,1.4519884000183083,0,2667.4972012999933,2669.083527049981,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1659_AF597,left,left,1.0168894999660552,1,2671.0832634999533,2672.2333666500053,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1356_AF1335,right,right,1.1105666999937966,1,2674.2305006000097,2675.483355949982,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF582_AF1828,right,right,1.9229059999925084,1,2677.4817266999744,2679.4834983499604,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF897_AF2012,right,right,2.6633598000044003,1,2681.488806499983,2684.3539191499585,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1335_AF2010,left,left,1.6169367000111379,1,2686.352531499986,2688.1000662499573,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1284_AF1468,left,right,0.9307241999777034,0,2690.0980910999933,2691.266709949996,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1825_AF1270,right,right,1.0132737000240013,1,2693.2637456000084,2694.3997654499835,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF2006_AF1811,left,left,1.658413400000427,1,2696.3987244999735,2698.216952149989,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1576_AF1514,right,right,1.4994396999827586,1,2700.2185164999682,2701.866652550001,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1755_AF1982,left,left,2.0693636999931186,1,2703.86369009997,2706.050176549994,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF722_AF1514,right,right,3.2174339999910444,1,2708.0475286999717,2711.3666867499705,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1903_AF31,right,left,1.478514600021299,0,2713.363356799993,2714.983487349993,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF2009_AF110,left,left,1.0443622000166215,1,2716.984941100003,2718.166767149989,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1090_AF41,right,right,1.5400686000357382,1,2720.164281799982,2721.816188549972,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1434_AF1270,right,right,1.1251919000060298,1,2723.812776000006,2725.0499436499667,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF2012_AF2010,left,right,1.639407199982088,0,2727.0548745999695,2728.7832833499997,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1335_AF1903,left,left,1.4381545000360347,1,2730.7821276999894,2732.400203450001,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1468_AF1828,right,right,2.592496299999766,1,2734.397608499974,2737.1496646499727,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1365_AF244,left,left,3.5348179999855347,1,2739.147836499964,2742.783098749991,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF355_AF1405,right,right,1.2552937000291422,1,2744.7795543999528,2746.18292604998,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1532_AF2004,left,left,2.1793097000336275,1,2748.18372500001,2750.533089549979,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF722_AF2012,right,left,1.5836029999773018,0,2752.535841199977,2754.283218549972,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1356_AF1667,right,right,0.9802578000235371,1,2756.282093499962,2757.4163354499615,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1203_AF1656,left,left,1.1446613000007346,1,2759.4138625999913,2760.66643355001,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1828_AF1296,left,left,1.7850741999573074,1,2762.663749500003,2764.549417649978,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF2005_AF1365,left,right,2.2800818999530748,0,2766.547802199959,2768.9998280499713,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1811_AF967,right,right,3.409624000021722,1,2770.998961999954,2774.5501551500056,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1834_AF987,left,left,2.114368900016416,1,2776.5473477999913,2778.783324549964,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF110_AF1832,right,right,1.224408600013703,1,2780.780861200008,2782.116187949956,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1154_AF784,left,left,1.0119546999922022,1,2784.113035999995,2785.2328645499656,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF867_AF724,right,right,0.77734720002627,1,2787.236035799957,2788.166283949977,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF2006_AF1546,left,left,1.1266325999749824,1,2790.165438900003,2791.3830479499884,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1828_AF433,left,right,1.789078600006178,0,2793.3865268999944,2795.2495551499887,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF597_AF1725,right,right,1.5439235999947414,1,2797.246006099973,2798.932895749982,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1296_AF1312,right,right,1.7412514999741688,1,2830.283285099955,2832.333175649983,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1551_AF1064,right,right,1.4210468999808654,1,2834.330947899958,2835.882954349974,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1584_AF712,left,left,1.328492800006643,1,2837.880410499987,2839.332914449973,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1065_AF932,left,left,1.2400922999950126,1,2841.3299181999755,2842.682762749959,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF987_AF1456,left,right,1.8048150000395253,0,2844.680149099964,2846.618070449971,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
3_AF1735_AF1659,right,right,0.8235803000279702,1,2848.615833399992,2849.5830266499543,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF1456_AF1434,right,right,1.242018699995242,1,2851.580772599962,2852.9163300499786,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF1837_AF1982,left,left,1.1190205999882892,1,2854.91252969997,2856.18311345001,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
4_AF685_AF2004,left,left,0.7717609999817796,1,2858.184937699989,2859.082691949967,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF2011_AF715,right,right,1.061652900010813,1,2861.083239600004,2862.2993310499587,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
1_AF2008_AF663,right,left,1.2861482999869622,0,2864.310150699981,2865.6826220499934,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1233_AF597,left,right,1.1437001000158489,0,2867.6846219999716,2868.9160544499755,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
2_AF1714_AF582,left,left,1.5967682999907993,1,2870.9137232999783,2875.516027649981,1,2022-12-27-2111,VBDM,2021.2.0,60.02563095790019,
